route,page_file,public_or_authenticated,user_type,purpose,feature_cluster,status,nav_visible,auth_required,monetization_relevance,risk_notes
/,element:DomainAwareHome,public,visitor,Application surface,platform,marketable_now,yes,no/mixed,medium,
/login,element:PublicRoute,public,visitor,Application surface,platform,marketable_now,yes,no/mixed,medium,
/reset-password,element:ResetPassword,public,visitor,Application surface,platform,marketable_now,yes,no/mixed,medium,
/bot/:slug,element:BotPublic,public,visitor,Agent creation/runtime/distribution,agents,marketable_now,yes,no/mixed,high,
/agent/:id,element:AgentPublicPage,public,visitor,Agent creation/runtime/distribution,agents,marketable_now,yes,no/mixed,high,
/arsenal/:slug,element:ArsenalPublicPage,public,visitor,Application surface,platform,marketable_now,yes,no/mixed,medium,
/a/:slug,element:ArsenalPublicPage,public,visitor,Application surface,platform,marketable_now,yes,no/mixed,medium,
/verify/:verificationSlug,element:CredentialVerifyPage,public,visitor,Application surface,platform,marketable_now,yes,no/mixed,medium,
/partners,element:PartnersPage,public,visitor,"Revenue, pricing, partner, or payout surface",monetization,marketable_now,yes,no/mixed,high,
/partners/apply,element:PartnerApplyPage,public,visitor,"Revenue, pricing, partner, or payout surface",monetization,marketable_now,yes,no/mixed,high,
/page/:slug,element:AdminManagedPage,admin,admin,Application surface,admin,marketable_now,yes,yes/admin,high,
/ai-agent-builder,element:AiAgentBuilderLanding,authenticated,authenticated user,Agent creation/runtime/distribution,agents,marketable_now,yes,yes,high,
/ai-workflow-automation,element:AiWorkflowAutomationLanding,authenticated,authenticated user,Repeatable execution or operator work,automation,partial,yes,yes,high,
/ai-agents-for-business,element:AiAgentsForBusinessLanding,authenticated,authenticated user,Business Spaces operating/revenue surface,business_spaces,marketable_now,yes,yes,high,
/programs,element:Navigate,public,visitor,Redirect alias,platform,legacy_or_gated,redirect,no/mixed,medium,
/ecosystem,element:EcosystemHub,public,visitor,Application surface,platform,marketable_now,yes,no/mixed,medium,
/programs/:id,element:ProgramPage,public,visitor,Application surface,platform,marketable_now,yes,no/mixed,medium,
/eco,element:EcoPage,public,visitor,Application surface,platform,marketable_now,yes,no/mixed,medium,
/partners/dashboard,element:PartnerDashboardPage,public,visitor,"Revenue, pricing, partner, or payout surface",monetization,marketable_now,yes,no/mixed,high,
/dashboard,pages/DashboardPage.tsx,authenticated,authenticated user,Application surface,platform,marketable_now,yes,yes,medium,
/zen,element:ZenCommandWorkspaceRoute,authenticated,authenticated user,Advanced creation and reasoning workspace,z_engine,marketable_now,yes,yes,high,
/build-team,element:BuildTeamPage,authenticated,authenticated user,Application surface,platform,marketable_now,yes,yes,medium,
/team,element:TeamManagementPage,authenticated,authenticated user,Application surface,platform,marketable_now,yes,yes,medium,
/agents,pages/AgentsPage.tsx,authenticated,authenticated user,Agent creation/runtime/distribution,agents,marketable_now,yes,yes,high,
