risk_id,area,risk_type,severity,description,evidence,impact,recommended_fix,priority
R001,AI routing,cost/governance,high,Direct browser/BYO chat paths can bypass platform metering and admin policy.,AiSystemsMap marks Chat / streaming completions as browser -> provider REST direct with high cost risk.,"Credits, usage logs, and margin can drift.",Migrate remaining chat.agent.byo and agent.run paths into ai-route or document blessed exceptions with tests.,P0
R002,Image generation,cost/governance,high,Direct image generation via user keys is live but not platform metered.,AiSystemsMap says LLMService.generateImage is direct provider REST with no usage logging.,Expensive media can be untracked.,Route platform-paid image generation through ai-route; label BYO as user-paid.,P0
R003,Production repo,change control,medium,Selected production checkout was already dirty before audit.,Pre-audit git status listed modified/staged AI media/model files and untracked docs/tests/temp files.,Future release checks are harder.,Keep Atlas isolated; compare before/after status and diff fingerprints.,P1
R004,Business Spaces credits,billing,medium,Night Shift pricing/reserved/debited fields need full debit/refund verification before aggressive selling.,business_space_night_shifts and AdminOperatorsPanel credit metrics exist.,Bad credit debits break trust/margin.,Add reserve/debit/refund/admin-bypass tests.,P0
R005,Automation,billing/enforcement,high,Flows and schedules can execute work but paid-tier/credit enforcement is not uniformly visible.,"flow-executor, schedule-tick, flows/schedules services exist.",Free users may access costly execution or paid users may hit confusing limits.,Create canonical automation entitlement and credit contract.,P0
R006,Agent channels,governance,high,Channel execution is not fully unified under ai-route.,ChannelRouting recommends migrating agent.run channel execution into ai-route.,Provider fallback and logs can diverge.,Make agent-runner use ai-route for all model calls.,P0
R007,Knowledge retrieval,unknown provider,medium,Embedding/retrieval provider and cost path are unknown.,AiSystemsMap lists Knowledge retrieval / embeddings as Unknown.,Hard to price/debug/promise quality.,Surface provider/model/logging/credit behavior in AI Systems Map.,P1
R008,Web search,unknown provider,medium,"Web search/WebIntel provider, logging, and credit handling are not centrally enumerated.",AiSystemsMap marks Web search / WebIntel Unknown.,Search costs and source trust unclear.,Map web-search provider/key/cost and admin visibility.,P1
R009,Experience generation,routing exception,medium,Experience generation uses a dedicated route instead of canonical ai-route.,services/experiences.ts invokes experience-generate; AdminExperiencesPanel controls OpenAI model.,Policy/credits can diverge.,Classify as blessed exception or migrate to ai-route route key.,P1
R010,Marketplace monetization,product completeness,medium,"Marketplace/Discover exists but paid listing, commission, and entitlement loop needs clearer connection.","Marketplace, prompt packs, Stripe Connect, referral tables exist separately.",Revenue loop is hard to sell.,Create one end-to-end paid asset flow.,P1
R011,Admin secrets,security,critical,"Admin provider key surfaces must avoid leaks in logs, UI, exports, or public docs.",AdminDashboard manages admin_api_keys; TuneAdminPanel warns never reveal secrets.,Secret exposure would be severe.,Scan key rendering/logging and redact audit metadata.,P0
R012,Admin role boundaries,security,high,Every high-power admin write surface needs role review.,"AdminDashboard has many writes across keys, flags, users, credits.",Overbroad access can alter billing/users/routes.,Add role-matrix tests.,P0
R013,Public pages,content safety,medium,Catch-all/admin pages can publish public content.,Routes /page/:slug and /:slug point to AdminManagedPage.,Public mistakes affect brand/SEO.,Add preview/publish review workflow.,P1
R014,Programs redirects/access,activation,medium,Programs use redirects and access functions; login nextPath should be smoke-tested.,Routes /programs -> /ecosystem and /programs/:id plus program-access functions exist.,Campaign visitors may hit confusion.,Smoke test public/admin program access.,P1
R015,RLS surface,data security,high,Large schema requires table-family RLS review.,Atlas found many user-scoped tables and service-role functions.,Cross-user exposure risk.,Audit RLS for agents/files/business spaces/credits/partners/programs/pages.,P0
R016,Credit double-debit,billing,high,ai-route and z-engine-stream debit/refund logic needs idempotency checks.,ai-route/z-engine-stream include credit debit/refund paths.,Users can lose trust or platform margin.,Add route-level idempotency and ledger reconciliation tests.,P0
R017,Feature sprawl,product clarity,medium,Many advanced features are buried across routes/labs/aliases.,"91 routes, 54 edge functions, and many aliases/legacy routes discovered.",Prospects may not understand where to start.,Use Atlas to consolidate navigation and demo journeys.,P1
R018,Public Atlas safety,information disclosure,medium,"Atlas is public and must avoid secrets, private data, source chunks, and sensitive screenshots.",Bootstrap public safety rule.,Public repo could leak operational details.,Keep summaries high-level and screenshots sanitized.,P0
R019,Connector/OAuth readiness,security/integration,medium,OAuth token lifecycle and connector gating need review.,"notion-oauth, linkedin-oauth, user_oauth_connections, businessConnectionsCenter.",Insecure connectors hurt trust.,"Audit token storage, revocation, scopes, paid gates.",P1
R020,Labs/legacy exposure,UX risk,medium,Legacy routes under Labs can confuse users if exposed.,App.tsx nests legacy marketplace/workspace/create/studio routes under /labs.,Old surfaces dilute premium feel.,Keep Labs admin-only and map modern replacements.,P2
