offer_id,offer_name,buyer,problem,packaged_capabilities,routes_to_demo,pricing_model,readiness,proof_assets,sales_angle,build_gap,priority
OFFER-001,AI Business Space Launch Kit,SMBs and agencies,They know they need AI leverage but cannot turn scattered ideas into a live operating system.,"Business Space, Smart Solution Plan, ROI, proposal, portal, Vault, first agent, first automation","/business-spaces, /business-spaces/:id/command-center, /business-spaces/:id/roi, /business-spaces/:id/proposal",$2.5k-$10k setup plus $299-$999/mo platform and support tier,ready,"Business Space journey screenshots, proposal export, portal view, Vault proof bundle",Launch the client's AI operating room before competitors finish discovery.,Create one sanitized demo client and canonical screenshot set.,1
OFFER-002,Night Shift Operator Subscription,"Busy founders, agencies, ops leaders",High-value work gets delayed because no one has time to operate the AI stack daily.,"Night Shift gate/run, replay, approval policy, output Vault, Flex OS","/business-spaces/:id/night-shift, /business-spaces/:id/flex",$499-$2.5k/mo plus credits by workload,near_ready,"Overnight run replay, worklog, generated assets, approval queue",Go to sleep with a queue. Wake up with proof of work.,Verify credit reserve/debit/refund path and document limits.,2
OFFER-003,AI Cost and Routing Audit,Agencies and AI teams,AI spend and model behavior are spread across ungoverned routes and provider accounts.,"AI Route, Admin AI Systems Map, provider keys, tier defaults, route events, credits","/admin, /admin/keys",$1.5k-$7.5k audit plus managed routing retainer,ready,"AI route diagram, risk register, model routing panel, usage event sample",Turn model chaos into margin control.,Use risk register to classify remaining direct paths.,3
OFFER-004,Proof Vault Client Portal,"Agencies, consultants, enterprise implementation teams",Clients do not trust invisible AI work and teams lose generated outputs.,"Files, Vault, workspace files, versions, proposals, reports, replays, portal export","/files, /workspace, /vault, /business-spaces/:id/portal",$999-$5k setup plus storage/platform tier,ready,"Proof lineage board, output folder, replay card, client portal",Every AI run becomes a client-visible proof asset.,Create a public demo proof bundle with sanitized artifacts.,4
OFFER-005,Smart Solution Plan Lead Magnet,Agencies and service businesses,They need better AI leads and a faster path from pain point to proposal.,"Smart Solution Plan, ROI estimator, proposal builder, Business Space creation","/business-spaces, /business-spaces/:id/roi, /business-spaces/:id/proposal",Free/low-cost diagnostic that upsells to setup and subscription,ready,"Before/after pain point, generated modules, ROI table, proposal","Diagnose, price, and package the AI system in one guided flow.",Turn demo into one conversion page and short video.,5
OFFER-006,Agent Channel Deployment Pack,"Service teams, communities, creators",An agent stuck inside an app has limited distribution and no lead capture.,"Agent builder, share studio, public page, embed templates, channels, lead capture","/agents, /agents/:id, /agents/:id/share, /agent/:id, /integrations",$799-$4k setup plus channel and usage tier,near_ready,"One agent live on web, embedded page, and one messaging channel",Turn one AI worker into a deployable customer touchpoint.,Unify or clearly document channel metering path.,6
OFFER-007,Creator Arsenal Storefront,"AI creators, consultants, educators","Creators need to monetize bundles, not just sell PDFs or prompts.","Arsenals, public Arsenal pages, paid access, marketplace, prompt packs, creator payouts","/arsenals, /arsenals/architect, /a/:slug, /marketplace, /revenue",Platform commission plus paid listing or storefront tier,near_ready,"Paid Arsenal page, checkout, access grant, revenue panel",Package your AI system as a product buyers can access immediately.,Clarify first paid listing and payout UX.,7
OFFER-008,Admin AI Governance Install,"Teams with AI spend, regulated teams, agencies","AI operations lack controls, limits, roles, audit, and usage accountability.","Admin dashboard, roles, model routing, limits, credit settings, audit, provider health","/admin, /admin/keys",$5k-$25k install plus enterprise subscription,near_ready,"Control tower screenshots, governance checklist, risk register",Enterprise AI control without building the control plane from scratch.,"Deep audit of admin roles, RLS, and logs before enterprise claims.",8
OFFER-009,Z-Engine Proposal Studio,"Founders, agencies, pitch teams",High-quality client and investor assets take too long to produce.,"Z-Engine Studio, motion compositions, artifact generation, Vault save, export","/z-engine, /z-engine?tab=roam",$99-$499/mo creator tier or $1k-$5k sprint,ready,"Motion asset, proposal artifact, project recovery, ZIP/export",Build launch and pitch assets from the same AI command studio.,Create a few polished demo projects and exports.,9
OFFER-010,Partner Growth Engine,"Agencies, affiliates, consultants",Distribution is expensive and partner incentives are hard to operationalize.,"Referral rewards, partner dashboard, commissions, Stripe Connect, admin partner controls","/partners, /partners/dashboard, /revenue, /admin/partners",Revenue share plus partner tier,ready,"Partner dashboard, commission status, referral settings, Connect flow",Let every agency sell Arsenal as infrastructure and earn on the platform.,Publish public partner terms and finance review workflow.,10
