feature_name,surface,route_or_component,edge_function_or_service,uses_ai_route,provider_path,default_model_or_policy,credit_enforced,usage_logged,admin_visible,fallback_behavior,status,risk,notes
Chat / streaming completions,ChatInterface / LLMService,components/ChatInterface.tsx; services/llm.ts,LLMService direct provider and ai-route fallback,partial,openai|anthropic|google|groq|deepseek|mistral|xai or ai-route,caller-supplied modelId,partial,partial,partial,route/key dependent,live,High cost/governance risk when browser/BYO direct path bypasses metering,AiSystemsMap marks direct browser calls high cost-risk.
Platform-routed AI calls,Shared AI route,services/aiRouteClient.ts; services/apiRouter.ts,ai-route,yes,server-side provider pool,caller/admin policy,yes,yes,yes,tier defaults/provider/env fallback,partial,Migration surface incomplete,api_routing_enabled flag gates route.
Media generation routes,Image/video generation,services/ai.ts; services/llm.ts,ai-route,yes,Cloudflare Workers AI / Runway,media_generation_config,yes,yes,yes,admin media fallback,live,Medium cost risk if video caps/costs drift,image.generate charges 1 credit; video is Pro/Premium/admin.
Arsenal Senses,Media perception,services/mediaAnalysis.ts,media-analyze -> ai-route,yes,Cloudflare Workers AI,route-specific media models,yes,yes,yes,ai-route structured failures,live,Medium due realtime/large media cost,"Captions, transcription, object detection, summarization, realtime room summary."
Prompt enhancement / Tune,Instruction Lab,services/tune.ts,tune-assist,no,Cloudflare default; optional Cerebras/Open-compatible/HF/custom,@cf/moonshotai/kimi-k2.6,yes,yes,yes,Tune fallback model,live,Medium: separate route from canonical ai-route,"TuneAdminPanel controls tasks, providers, models, and caps."
Z-Engine create/stream,Z-Engine,services/zEngineStream.ts,z-engine-stream -> ai-route,partial,OpenAI admin pool primary; Cloudflare fallback,gpt-5.3-codex primary per admin map,yes,yes,partial,credit refund and fallback,live,Medium: expensive generation and separate stream route,AiSystemsMap says debit/refund and prompt-class artifacts.
Smart Solution Plan,Business Spaces estimator,services/smartSolutions.ts,smart-solution-plan,no,Cloudflare Kimi primary; Lovable/Gemini fallback,@cf/moonshotai/kimi-k2.6,quota,yes,partial,provider fallback,live,Medium: dedicated route outside canonical ai-route,Daily quota and paid/admin unlimited policy.
Night Shift,Business scheduled work,services/businessSpaceNightShift.ts,night-shift-run -> ai-route,yes,admin provider pool,task route payload,partial,yes,admin operators view,approval/gate states,live,Medium,night-shift-gate/run and business_space_night_shifts exist.
Flow executor,Automation,services/flows.ts,flow-executor; ai-route for LLM tools,partial,ai-route for LLM steps,flow.llm route key,partial,partial,partial,flow error handling,partial,High if paid/credit gates inconsistent,schedule-tick invokes flow-executor.
Experience generation,Experiences,services/experiences.ts,experience-generate,no,OpenAI dedicated route,admin model/temperature,unknown,partial,yes,structured error handling,partial,Dedicated route should be blessed or migrated,AdminExperiencesPanel forwards model config.
Web search / WebIntel,Research utilities,services/webSearch.ts; services/webintel.ts,web-search,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Provider/key/credit path not enumerated,AiSystemsMap marks Web search/WebIntel unknown.
Knowledge retrieval / embeddings,Knowledge grounding,services/knowledgeRetrieval.ts,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Embedding provider/model not surfaced,AiSystemsMap marks knowledge retrieval unknown.
