feature_id,feature_name,category,route,user_type,business_value,status,frontend_files,component_files,service_files,edge_functions,database_tables,auth_required,plan_or_tier_gate,credit_metering_status,ai_route_or_provider,admin_control_surface,monetization_path,screenshot_needed,marketing_priority_1_to_5,revenue_priority_1_to_5,fix_priority_1_to_5,strategic_value_1_to_5,risk_level,evidence_notes
F001,Dashboard and command center,activation,/dashboard,authenticated user,"First operating surface for agents, Business Spaces, Vault, marketplace, guidance, and next actions.",marketable_now,pages/DashboardPage.tsx,components/shell/ArsenalCommandPanel.tsx,services/guidanceContent.ts; services/zenDaily.ts,ai-route,profiles; agents; workspace_files; announcements,yes,Free entry with paid paths,Indirect through routed actions,Mixed Tune/ai-route/route actions,Admin guidance and announcements,"Activation to agents, Business Spaces, and pricing",yes,5,4,2,5,medium,"App.tsx routes /dashboard; dashboard CTAs point to agents, marketplace, keys, knowledge, Business Spaces."
F002,"Agent builder, registry, and runtime",agents,/agents; /agents/:id,builder,"Core digital-worker layer with instructions, models, knowledge, actions, sharing, and runtime.",marketable_now,pages/AgentsPage.tsx; pages/AgentDetailPage.tsx,components/ChatInterface.tsx; components/agents,services/agentRegistry.ts; services/ai.ts; services/llm.ts,ai-route; fetch-knowledge-url; agent-action-execute,agents; agent_versions; agent_skills; agent_memories; knowledge_sources,yes,Tier limits in stripeConfig and access helpers,"Partial: ai-route metered, direct/BYO mixed",ai-route plus legacy LLMService/direct provider paths,"Admin AI Systems Map, API Keys, Model Routing","Subscriptions, credits, paid agents, embeds",yes,5,5,3,5,high,AiSystemsMap marks agent execution live but per-agent provider mapping partial and cost risk high.
F003,"Public agents, embeds, and share studio",distribution,/agent/:id; /agents/:id/share,public visitor and builder,Turns agents into public or embedded assets that collect leads and prove value outside the app.,needs_polish,pages/AgentPublicPage.tsx; pages/AgentSharePage.tsx,components/embed; components/agents/PublishingPanel.tsx,services/embedTemplates.ts; services/agentChannels.ts,agent-channel-setup; agent-channel-broadcast; ai-route,agents; agent_channels; agent_channel_messages; leads,mixed,Advanced channels should be paid,Partial by route/channel,Public ai-route and mixed channel runner,Admin all agents and channel records,"Lead capture, embeds, channel upgrades, white label",yes,5,4,3,5,medium,Routes /agent/:id and /agents/:id/share exist; channel UI recommends unified ai-route execution.
F004,Agent channels,channels,/integrations and channel panels,business operator,"Deploys agents to Slack, Discord, Telegram, WhatsApp, SMS, and web surfaces.",partial,pages/IntegrationsPage.tsx,components/agents/ChannelRouting.tsx,services/agentChannels.ts; services/businessConnectionsCenter.ts,agent-slack-webhook; agent-discord-webhook; agent-telegram-webhook; agent-whatsapp-webhook; agent-sms-webhook; agent-channel-setup,agent_channels; agent_channel_messages; operator_event_logs,yes,Channel entitlement checks exist,Partial,agent runner / ai-route mix,Admin AI Systems Map,Paid channel deployment and Business add-ons,yes,4,5,4,5,high,ChannelRouting says next infra upgrade is to migrate agent.run channel execution into ai-route.
F005,Business Spaces command center,business_spaces,/business-spaces; /business-spaces/:id/*,business buyer,"B2B operating space combining profile, agents, automations, ROI, proposals, outputs, portal, and exports.",marketable_now,pages/BusinessSpacesPage.tsx; pages/BusinessSpaceDetailPage.tsx,components/business-spaces/BusinessSpaceCommandCenter.tsx; components/business-spaces/BusinessSpaceShell.tsx,services/businessSpaces.ts; services/businessSpaceAccess.ts; services/businessSpaceCommandCenter.ts,smart-solution-plan; night-shift-gate; night-shift-run,business_spaces; business_space_night_shifts; solution_plans,yes,Pro/Premium manage; free preview,Partial: shifts and AI runs use estimates/debits,smart-solution-plan and ai-route,AdminBusinessSpacesPanel and RevenueReadinessPanel,"Business subscriptions, setup fees, proposals, credits",yes,5,5,2,5,medium,BusinessSpaceDetailPage gates execution tabs with FeatureGate business_spaces.manage.
F006,Smart Solution Plan and ROI estimator,business_spaces,/business-spaces; /business-spaces/:id/roi,business buyer,"Converts pain points into modules, ROI, proposal language, and implementation plans.",marketable_now,pages/BusinessSpacesPage.tsx,components/business-spaces/SmartSolutionEstimator.tsx; components/business-spaces/BusinessSpaceRoi.tsx,services/smartSolutions.ts; services/businessSpaceRoi.ts,smart-solution-plan,solution_plans; solution_plan_usage; business_spaces,yes,Paid/admin unlimited policy in function,Daily quota and paid/admin unlimited,Cloudflare Kimi primary; Lovable/Gemini fallback,RevenueReadinessPanel and AI Systems Map,"Lead magnet, paid plan, done-for-you sales",yes,5,5,2,5,medium,AiSystemsMap marks Business Spaces smart-solution plans live.
F007,Night Shift scheduled work,automation,/business-spaces/:id/night-shift,business operator,"Schedules or runs overnight work with gates, pricing, replay, approval policy, and output reuse.",powerful_hidden,pages/BusinessSpaceDetailPage.tsx,components/business-spaces/BusinessSpaceNightShift.tsx; components/business-spaces/NightShiftExecutionReplay.tsx,services/businessSpaceNightShift.ts; services/shiftOs.ts,night-shift-gate; night-shift-run; ai-route,business_space_night_shifts; operator_event_logs; workspace_files,yes,Business Spaces Pro/Premium manage gate,Pricing/reserve/debit relevance; verify lifecycle,night-shift-run invokes ai-route,AdminOperatorsPanel,Premium automation add-on and credit usage,yes,5,5,3,5,medium,Migration adds pricing/live fields and action policy; replay keeps honest queued/running/failed states.
F008,Flex OS operator cockpit,automation,/flex-os; /business-spaces/:id/flex,operator and admin,"Operator cockpit for roles, queues, approvals, output vault, replays, and worklogs.",powerful_hidden,pages/FlexOSPage.tsx; pages/BusinessSpaceDetailPage.tsx,components/business-spaces/flex/BusinessSpaceFlex.tsx,services/businessSpaceFlex.ts; services/flexDeploymentPacks.ts; services/executionReplayStorage.ts,ai-route; flow-executor,operator_event_logs; flow_runs; workspace_files,yes,Business Spaces manage and admin observability gates,Partial; admin reads credits reserved/consumed,ai-route for operator drafts,AdminOperatorsPanel,"Operator seats, agency operations, automation credits",yes,4,5,3,5,medium,"Flex includes approvals, output-vault, replay, and Vault proof linkage."
F009,"Business proposal, portal, export, and readiness",business_spaces,/business-spaces/:id/proposal; /portal; /export,business buyer,Turns setup into client-facing sales and delivery material.,marketable_now,pages/BusinessSpaceDetailPage.tsx,components/business-spaces/BusinessSpaceProposal.tsx; BusinessSpacePortal.tsx; BusinessSpaceExport.tsx,services/businessSpaceProposal.ts; services/businessSpaceExport.ts,smart-solution-plan,business_spaces; workspace_files; solution_plans,yes,Pro/Premium execution/export gate,Mostly deterministic; generation uses plan route,smart-solution-plan,AdminBusinessSpacesPanel,"Proposal export, client portal, service delivery",yes,5,5,2,5,low,"Detail routes expose proposal, roi, portal, export behind paidBusinessSpaceAction."
F010,Z-Engine studio,creation,/z-engine,creator and operator,"Advanced creation/reasoning studio for systems, artifacts, projects, and reusable outputs.",marketable_now,pages/ZEngineLab.tsx,components/zengine/ZEngineStudio.tsx,services/zEngine.ts; services/zEngineCreate.ts; services/zEngineStream.ts,z-engine-stream; ai-route; tune-assist,z_engine_projects; credit_ledger; ai_route_events,yes,Credit/tier controls in edge routes,Yes: debit/refund and usage logging,z-engine-stream to OpenAI admin pool with Cloudflare fallback,ZEngineModelAdminPanel,"Premium builder, credits, business artifacts",yes,5,5,2,5,medium,AiSystemsMap says zengine.generate uses credit debit/refund and prompt-class artifacts.
