service_file,feature_owner,purpose,key_dependencies,edge_functions,database_tables,status,risk_notes
services/accelerateOrchestrator.ts,Platform,Shared platform utility or domain service,Supabase client; localStorage fallback; edge functions where invoked,accelerate-fetch; harness-route,varies,inventory_only,Low-risk utility unless called by sensitive flows.
services/accessControl.ts,Monetization,"Billing, credits, access, referral, program, or paid launch support",Supabase client; localStorage fallback; edge functions where invoked,,credit_ledger; credit_accounts; partner_commissions,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/adminAudit.ts,Admin / governance,"Admin control, audit, guidance, or feature visibility",Supabase client; localStorage fallback; edge functions where invoked,,admin_audit_log; platform_feature_flags,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/adminPages.ts,Admin / governance,"Admin control, audit, guidance, or feature visibility",Supabase client; localStorage fallback; edge functions where invoked,ai-route,admin_audit_log; platform_feature_flags,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/agentChannels.ts,Agents / AI,"Agent, model, provider, AI route, or runtime support",Supabase client; localStorage fallback; edge functions where invoked,agent-channel-setup,agents; ai_route_events; admin_api_keys,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/agentInsights.ts,Agents / AI,"Agent, model, provider, AI route, or runtime support",Supabase client; localStorage fallback; edge functions where invoked,,agents; ai_route_events; admin_api_keys,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/agentMemory.ts,Agents / AI,"Agent, model, provider, AI route, or runtime support",Supabase client; localStorage fallback; edge functions where invoked,,agents; ai_route_events; admin_api_keys,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/agentRegistry.ts,Agents / AI,"Agent, model, provider, AI route, or runtime support",Supabase client; localStorage fallback; edge functions where invoked,,agents; ai_route_events; admin_api_keys,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/ai.ts,Agents / AI,"Agent, model, provider, AI route, or runtime support",Supabase client; localStorage fallback; edge functions where invoked,,agents; ai_route_events; admin_api_keys,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/aiRouteClient.ts,Agents / AI,"Agent, model, provider, AI route, or runtime support",Supabase client; localStorage fallback; edge functions where invoked,,agents; ai_route_events; admin_api_keys,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/apiRouter.ts,Agents / AI,"Agent, model, provider, AI route, or runtime support",Supabase client; localStorage fallback; edge functions where invoked,,agents; ai_route_events; admin_api_keys,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/arsenalAccess.ts,Monetization,"Billing, credits, access, referral, program, or paid launch support",Supabase client; localStorage fallback; edge functions where invoked,,credit_ledger; credit_accounts; partner_commissions,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/arsenalCredits.ts,Monetization,"Billing, credits, access, referral, program, or paid launch support",Supabase client; localStorage fallback; edge functions where invoked,create-credit-topup-checkout,credit_ledger; credit_accounts; partner_commissions,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/arsenalPages.ts,Arsenals / Marketplace,"Bundle, marketplace template, or public page support",Supabase client; localStorage fallback; edge functions where invoked,,arsenals; arsenal_pages; arsenal_products,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/arsenalPaidAccess.ts,Monetization,"Billing, credits, access, referral, program, or paid launch support",Supabase client; localStorage fallback; edge functions where invoked,confirm-arsenal-access; create-arsenal-access-checkout,credit_ledger; credit_accounts; partner_commissions,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/arsenalTemplates.ts,Arsenals / Marketplace,"Bundle, marketplace template, or public page support",Supabase client; localStorage fallback; edge functions where invoked,,arsenals; arsenal_pages; arsenal_products,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/arsenalThemePresets.ts,Arsenals / Marketplace,"Bundle, marketplace template, or public page support",Supabase client; localStorage fallback; edge functions where invoked,,arsenals; arsenal_pages; arsenal_products,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/arsenalWebsiteAssembler.ts,Arsenals / Marketplace,"Bundle, marketplace template, or public page support",Supabase client; localStorage fallback; edge functions where invoked,zen-daily-og-fetch,arsenals; arsenal_pages; arsenal_products,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/artifactPreview.ts,Platform,Shared platform utility or domain service,Supabase client; localStorage fallback; edge functions where invoked,,varies,inventory_only,Low-risk utility unless called by sensitive flows.
services/assistantKnowledge.ts,Vault / Knowledge,"Files, vault, upload, proof, or knowledge support",Supabase client; localStorage fallback; edge functions where invoked,,workspace_files; knowledge_sources,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/basketTemplates.ts,Automation,"Flow, schedule, replay, basket, or harness support",Supabase client; localStorage fallback; edge functions where invoked,,flows; flow_runs; baskets; operator_event_logs,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/baskets.ts,Automation,"Flow, schedule, replay, basket, or harness support",Supabase client; localStorage fallback; edge functions where invoked,,flows; flow_runs; baskets; operator_event_logs,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/businessAIStaffRoles.ts,Platform,Shared platform utility or domain service,Supabase client; localStorage fallback; edge functions where invoked,,varies,inventory_only,Low-risk utility unless called by sensitive flows.
services/businessAutomationCatalog.ts,Platform,Shared platform utility or domain service,Supabase client; localStorage fallback; edge functions where invoked,,varies,inventory_only,Low-risk utility unless called by sensitive flows.
services/businessConnectionsCenter.ts,Platform,Shared platform utility or domain service,Supabase client; localStorage fallback; edge functions where invoked,,varies,inventory_only,Low-risk utility unless called by sensitive flows.
services/businessSpaceAccess.ts,Business Spaces,"B2B workspace state, ROI, proposals, shifts, or connected work",Supabase client; localStorage fallback; edge functions where invoked,,business_spaces; workspace_files; credit_ledger,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/businessSpaceCommandCenter.ts,Business Spaces,"B2B workspace state, ROI, proposals, shifts, or connected work",Supabase client; localStorage fallback; edge functions where invoked,,business_spaces; workspace_files; credit_ledger,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/businessSpaceConnect.ts,Business Spaces,"B2B workspace state, ROI, proposals, shifts, or connected work",Supabase client; localStorage fallback; edge functions where invoked,,business_spaces; workspace_files; credit_ledger,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
services/businessSpaceCopilot.ts,Business Spaces,"B2B workspace state, ROI, proposals, shifts, or connected work",Supabase client; localStorage fallback; edge functions where invoked,,business_spaces; workspace_files; credit_ledger,inventory_only,"Review for server-side enforcement if this gates paid, credit, provider, or user-data behavior."
