id,capability,evidence,leverage_type,buyer,why_rare,market_now,offer,proof_needed,risk,next_action,priority
SLI-001,Business Space Launch OS,"Business Spaces command center, Smart Solution Plan, ROI, proposal, portal, export, Night Shift, Flex OS",Lead-to-delivery operating room,"SMBs, agencies, consultants, local operators","Most AI products stop at chat or isolated agents. Arsenal can map the business, price the outcome, create the workspace, run work, store proof, and export a client-facing portal.",Sell a complete AI operating space for a client in a day.,AI Business Space Launch Kit,"Screenshot sequence: index, command center, ROI, proposal, Night Shift replay, portal export.",Night Shift credit reserve/debit/refund lifecycle should be verified before heavy paid automation claims.,Create one sanitized demo Business Space and capture the full sales journey.,1
SLI-002,Night Shift Operator Desk,"Night Shift gate/run, replay states, action policy, workspace outputs, operator logs",Async labor replacement,"Founders, agencies, service businesses, solo operators",It frames automation as overnight work with approvals and evidence instead of background jobs hidden from the buyer.,"Wake up to a worklog, outputs, and next decisions.",Night Shift Operator Subscription,"One before/after demo showing queued, running, needs review, completed, and output saved to Vault.",Credit and entitlement enforcement must stay consistent for scheduled runs.,Record a demo run against a fake client intake and produce a proof bundle.,2
SLI-003,AI Route Margin and Governance Layer,"ai-route, admin key pools, tier defaults, route events, limits, credits, fallbacks",AI margin control and enterprise trust,"Agencies, enterprise teams, AI operators","It turns model routing from hidden plumbing into an admin-controlled business primitive for cost, policy, plan gates, usage, and fallbacks.",Use Arsenal as the control plane between every AI feature and the models underneath.,AI Cost and Routing Audit,"Admin AI Systems Map, route events, model routing, tier limits, credit ledger.",Direct AI paths still need migration or documented blessed exceptions.,Publish a safety-first AI routing audit offer and use Atlas risk register as the checklist.,3
SLI-004,Vault Proof Layer,"Files, Vault, workspace files, versions, generated artifacts, replays, proposals, reports",Proof accumulation and client trust,"Agencies, consultants, implementation teams","AI tools usually discard context and proof. Arsenal can turn outputs, replays, files, and proposals into a reusable delivery record.","Sell proof, not storage: every AI run becomes a client artifact.",Proof Vault Client Portal,"Vault views showing source, output, replay, export, and client-ready file lineage.",Server-side file limits and access boundaries need review before enterprise claims.,Package a public demo proof bundle with no private data.,4
SLI-005,Smart Solution Plan to Proposal Engine,"Smart Solution Plan, ROI estimator, proposal builder, business profile, quota policy",Sales engineering automation,"Agencies, B2B service sellers, operators","It connects diagnosis, ROI math, implementation modules, and proposal copy instead of generating generic sales text.",Turn a business pain point into a priced AI implementation plan.,Smart Solution Plan Lead Magnet,"Landing CTA, intake, generated plan, ROI, proposal export.",Quota and paid/admin unlimited policy should be explained publicly in simple terms.,Use it as the top-of-funnel demo for Business Space Launch OS.,5
SLI-006,Agent Deployment Network,"Agent builder, public agents, embeds, Slack, Discord, Telegram, WhatsApp, SMS, channel setup",Distribution of digital workers,"Creators, agencies, customer support teams","It is not just one chatbot surface. Agents can become public assets, embeds, and channel workers.","Deploy one AI worker across site, client page, and messaging channels.",Agent Channel Deployment Pack,"Agent detail, share studio, public page, channel routing, lead capture.",Channel execution needs unified metering and route safety.,Create a screenshot board for one agent deployed to three channels.,6
SLI-007,Creator Arsenal Storefront,"Arsenals, paid access checkout, grants, marketplace, Discover, prompt packs, creator payouts",Productized creator commerce,"AI creators, consultants, educators","Creators can bundle agents, pages, prompts, products, and experiences rather than selling a single prompt file.","Launch a paid AI product bundle, not a prompt pack.",Creator Arsenal Storefront,"Public Arsenal page, paid access flow, marketplace listing, revenue panel.","Paid listing, payout, and entitlement loops need a cleaner first-path UX.",Ship one first paid listing pattern before broad creator marketplace claims.,7
SLI-008,Instruction Lab and Tune Factory,"Instruction Lab, prompt packs, Tune admin config, usage logs, model comparison, prompt enhance/install",Reusable prompt IP manufacturing,"Builders, agencies, internal AI teams","It treats instructions as assets with caps, installs, enhancement, preview, and marketplace potential.",Turn repeatable expertise into installable AI instructions.,Prompt Pack Factory Sprint,"Tune comparison, pack creation, install flow, usage log, marketplace placement.",Paid entitlement and creator payout need productization.,Create three vertical prompt packs tied to Business Spaces.,8
SLI-009,Z-Engine Motion and Artifact Studio,"Z-Engine Studio, motion compositions, preview, ZIP, Vault save, WebM support, z-engine-stream",Premium artifact creation,"Creators, agencies, founders, pitch teams","It mixes reasoning, artifact generation, motion preview, and persistent project recovery into a premium creation surface.",Create launch assets and investor visuals from one command studio.,Z-Engine Proposal Studio,"Project recovery, motion preview, generated artifact, Vault save, export.",Credit costs and generation limits must stay visible.,Use Z-Engine to produce one demo business launch kit asset pack.,9
SLI-010,Partner and Referral Growth Engine,"Referral rewards, partner dashboard, commissions, Stripe Connect, partner applications, admin controls",Distribution without paid ads,"Partners, affiliates, agencies, creators","It couples product surfaces with payout rails and admin review, letting distribution become part of the platform.",Give agencies a reason to bring every client into Arsenal.,Partner Growth Engine,"Partner application, dashboard, commission status, Connect onboarding, admin settings.",Finance review and approval rules should be explicit before scaling.,Recruit 5 pilot partners with a simple revenue share page.,10
